objectid,filename,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,autori
larana_031967_b,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1966.json,,"La Rana, marzo 1967. Retro.",Liceo Galvani,1967-03-01,Esempio descrizione,esempio;prova,Bologna,Archivio Liceo Galvani,larana_031967_b,Image;StillImage,application/3gppHal+json,it,Da capire,Boh,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1966.json
la_rana_gennaio_1961,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1961.json,La rana (gennaio 1961),Liceo Galvani,01/1961,Copia del gennaio 1961 del giornalino del Liceo Galvani contenente tredici articoli con scopo divulgativo e di intrattenimento.,Gruppo teatrale del Galvani;Fame nel mondo;Centro di studi giornalistici;Giovani;quadri;arte;Ernst Wiechert;Il grande dittatore; Anna dei miracoli;Karting;Go kart;Greco;Moussorgsky;Boris Godounov;Innsbruk;,Bologna,BUB - Biblioteca Universitaria di Bologna,la_rana_gennaio_1961,Document,pdf,Italiano, BUB - Biblioteca Universitaria di Bologna,https://bub.unibo.it/it/bub-digitale/termini-d-uso,Gilberto Cella;Paolo Montanari;Federico Bendinelli;Anna Mazzone;Fabrizio Frasnedi;Giuliano Gruppioni;Paolo Natali;Baldisserri;Giovanni Salizzoni;Lino Gabellone;Sanro Castellari;Giuliano Buselli
la_rana_aprile_1967,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1967.json,La rana (aprile 1967),Liceo Galvani,04/1967,Copia dell'aprile 1967 del giornalino del Liceo Galvani contenente nove articoli con scopo divulgativo e di intrattenimento.,Scuola e democrazia;Lettere al giornale;Vietnam;Vela;Sport;Capellonismo;Beat;Scuola e studenti;Bidelli;protesta;Calcio;Rana Sport;Bicicletta;Populorum Progressio,Bologna,BUB - Biblioteca Universitaria di Bologna,la_rana_aprile_1967,Document,pdf,Italiano, BUB - Biblioteca Universitaria di Bologna,https://bub.unibo.it/it/bub-digitale/termini-d-uso,Marco Biagi;Giorgio Graffi;Rino Maenza;Mauro Mariani;Riccardo Vattuone;Riccardo Camoni;Claudio Bombi;Federico Rendina;Susanna Bianchi;Dimolf;Gabrio Geraci;Ferdinando Conti
la_rana_gennaio_febbraio_1966,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1966.json,La rana (gennaio-febbraio 1966),Liceo Galvani,01-02/1966,Copia del gennaio-febbraio 1966 del giornalino del Liceo Galvani contenente undici articoli con scopo divulgativo e di intrattenimento.,Editoriale;Feste;Sport;Cineforum;Albert Schweitzer;Riforma della scuola;Pedrazzi;Fellini;Giuliett degli spiriti;Teatro;Teatro d'avanguardia;Emancipazione femminile;Jazz;Centenario dantesco;Pirandello;Cultura;Quiz;Poesia;,Bologna,BUB - Biblioteca Universitaria di Bologna,la_rana_gennaio_febbraio_1966,Document,pdf,Italiano, BUB - Biblioteca Universitaria di Bologna,https://bub.unibo.it/it/bub-digitale/termini-d-uso,Aldo Parisini;Alessanra Deoriti;Diadora Giannello;Enrichetta Sentimenti;Franco Taraglio;Sergio Sabattini;Maria Di Stefano;Sanro Tassani;Rino Maenza;Sergio Volta;Alberto Galluzzi;Aldo Parisini;Carlo Fantini;Floriana Castoro;Angelo Salizzoni;Stefania Sidoli
la_rana_maggio_1967,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1967.json,La rana (maggio 1967),Liceo Galvani,05/1967,Copia del maggio 1967 del giornalino del Liceo Galvani contenente diciotto articoli con scopo divulgativo e di intrattenimento.,Scuola pubblica e scuola privata;El gringo;Rana sport;Bologna;Calcio;Grecia;Colpo di stato greco;Scuola attiva;Fabrizio De Andrè;Fede;Lettere al Galvani;Premio Galvani;Beat;,Bologna,BUB - Biblioteca Universitaria di Bologna,la_rana_maggio_1967,Document,pdf,Italiano, BUB - Biblioteca Universitaria di Bologna,https://bub.unibo.it/it/bub-digitale/termini-d-uso,"Giorgio Graffi;Marco Biagi;Gabrio Geraci;Rino Maenza;Mauro Mariani;Riccardo Vattuone;Claudio Bombi;Valeria Cesanelli;Vittorio D'Anna;Carlo D'Adamo,Gemma Chiarini"
la_rana_marzo_1967,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1967.json,La rana (marzo 1967),Liceo Galvani,03/1967,Copia del marzo 1967 del giornalino del Liceo Galvani contenente undici articoli con scopo divulgativo e di intrattenimento.,Lettere al giornale;Amore;Pietro Aretino;Lucio Dalla;Politica;Giovani;Capelloni;Studenti Bolognesi;Cinema;Giacomo Bulgarelli;Vietnam;,Bologna,BUB - Biblioteca Universitaria di Bologna,la_rana_marzo_1967,Document,pdf,Italiano, BUB - Biblioteca Universitaria di Bologna,https://bub.unibo.it/it/bub-digitale/termini-d-uso,Mauro Mariani;Riccardo Vattuone;Gabrio Geraci;Giorgio Graffi;Susanna Bianchi;Giovanni Dimolf;Marco Biagi;Rino Maenza
la_rana_ottobre_1967,https://bub.unibo.it/iiif/2/manifest/bub/giornaliniscolastici/larana/jpg/1967.json,La rana (ottobre 1967),Liceo Galvani,10/1967,Copia dell'ottobre 1967 del giornalino del Liceo Galvani contenente nove articoli con scopo divulgativo e di intrattenimento.,O.R.;Riflessione su Don Milani;Edipo Re;Riflessione sul conflitto tra israeliani e arabi;i giovani leoni;Angelo Campanelli;Alle Guardie Rosse;Articolo satirico sulle minigonne,Bologna,BUB - Biblioteca Universitaria di Bologna,la_rana_ottobre_1967,Document,pdf,Italiano, BUB - Biblioteca Universitaria di Bologna,https://bub.unibo.it/it/bub-digitale/termini-d-uso,Marco Biagi;Giorgio Graffi;Gabrio Geraci;Mauro Mariani;Riccardo Vattuone;Rita Sala;Giusy Giulianini;Igor
la_rana_1985,la_rana_1985.pdf,La rana (1985),Liceo Galvani,1985,Copia del 1985 del giornalino del Liceo Galvani contenente articoli con scopo divulgativo e di intrattenimento.,Centenario Galvani;Scienza;Ricreazione;Alumni;Cultura;Cultura Classica;Sport;Interviste;Regole;Studio,,Liceo Galvani,la_rana_1985,Document,pdf,Italiano,Liceo Galvani,,Nicoletta Giusti;Norberto Odorico;Emanuele Ottolenghi;Alessandro Portelli;Federica Righini;Isabella Toth;Giorgio Magnani;Vittorio Prodi;Letizia Ceglie;Marco Guidi
la_rana_dicembre_1966,la_rana_dicembre_1966.pdf,La rana (dicembre 1966),,12/1966,Copia del 1966 del giornalino del Liceo Galvani contenente articoli con scopo divulgativo e di intrattenimento.,Dibattito democratico;Musica;Letteratura;Passeggiate;Bologna;Teatro;Psicologia;Ungaretti;Alumni;Poesia;Studenti;Virginia Woolf;Nouvelle Vague;Impressionisti;Arte,,Liceo Galvani,la_rana_dicembre_1966,Document,pdf,Italiano,Liceo Galvani,,"Maurizio Zamboni;Mauro Mariani;Clotilde del Guercio;Valeria Milletti;Claudio Melloni;Giorgio Graffi;Amedeo Palmieri;Maria Paola Funaioli,Giovanni Dimolf,Sandra Soster,Andrea Landuzzi;Gabrio Geraci;Aldo Sassi;Antonella Corissi;Carlo d'Adamo"
la_rana_febbraio_marzo_1966,la_rana_febbraio_marzo_1966.pdf,La rana (febbraio marzo 1966),,02-03/1966,Copia del 1966 del giornalino del Liceo Galvani contenente articoli con scopo divulgativo e di intrattenimento.,Cultura;Lettere alla rana;Vacanze;Patente;Bigelow;Coca cola;Europa;Messico;Università;Assisi;Scuola;sport;Basket;Pallavolo;Cicerone;Medicina;Pace,,Liceo Galvani,la_rana_febbraio_marzo_1966,Document,pdf,Italiano,Liceo Galvani,,Marco Biagi;Giorgio Graffi;Franco Tallarini;Mauro Mariani;Gabrio geraci;Riccardo Vattuone;tullio Parrinello;Eugenio Pozzati;Rita Sala;Paolo Bassanelli;Stefano Arieti;Andrea Zanelli;Piero Benetti;Irene Ruggiero;Valeria Cesanelli;Valerio Tura;Stefano Mazzacurati
